"","Category","x","plural"
"1916","gin",237,"gins"
"4053","scallop",237,"scallops"
"250","baguette",235,"baguettes"
"555","broccoli",235,"broccolis"
"2388","kernel",235,"kernels"
"5102","watercress",233,"watercresss"
"5017","veal",230,"veals"
"1977","grape",228,"grapes"
"3043","neck",226,"necks"
"398","blackberry",223,"blackberrys"
"625","butternut",221,"butternuts"
"363","berry",217,"berrys"
"3908","romaine",217,"romaines"
"5214","yeast",216,"yeasts"
"3250","oyster",212,"oysters"
"3138","oat",210,"oats"
"1886","gelatin",209,"gelatins"
"195","artichoke",207,"artichokes"
"3967","saffron",205,"saffrons"
"2362","kale",204,"kales"
"1664","fig",203,"figs"
"2765","marjoram",200,"marjorams"
"823","champagne",199,"champagnes"
"3649","prosciutto",196,"prosciuttos"
"1140","cracker",195,"crackers"
"3314","parsnip",187,"parsnips"
"3538","pomegranate",185,"pomegranates"
"3983","salsa",184,"salsas"
"1978","grapefruit",183,"grapefruits"
"394","bitter",178,"bitters"
"2296","jam",175,"jams"
"4420","sprout",175,"sprouts"
"1909","giblet",167,"giblets"
"3661","prune",166,"prunes"
"4889","tuna",164,"tunas"
"5040","vermouth",164,"vermouths"
"877","chickpea",163,"chickpeas"
"3113","note",163,"notes"
"3024","nam",162,"nams"
"3208","oriental",162,"orientals"
"2861","mexican",161,"mexicans"
"2389","ketchup",157,"ketchups"
"3559","port",157,"ports"
"4272","slice",157,"slices"
"4598","tabasco",157,"tabascos"
"2538","lemongrass",156,"lemongrasss"
"4677","tea",156,"teas"
"3485","pita",155,"pitas"
"778","cauliflower",154,"cauliflowers"
"1451","duck",152,"ducks"
"3903","roll",152,"rolls"
"304","bass",151,"basss"
"4901","turnip",151,"turnips"
"1052","concentrate",150,"concentrates"
"1561","espresso",145,"espressos"
"5170","wing",145,"wings"
"3351","pearl",144,"pearls"
"39","adobo",141,"adobos"
"5076","vodka",141,"vodkas"
"3555","porcini",140,"porcinis"
"4629","tail",140,"tails"
"2059","halibut",139,"halibuts"
"5209","yam",136,"yams"
"867","chestnut",135,"chestnuts"
"3279","pancetta",133,"pancettas"
"4002","sandwich",133,"sandwichs"
"4665","tartar",132,"tartars"
"404","blade",131,"blades"
"3008","mussel",131,"mussels"
"930","chuck",130,"chucks"
"2945","monterey",130,"montereys"
"3519","poblano",129,"poblanos"
"4798","tomatillo",129,"tomatillos"
"1004","cod",127,"cods"
"3044","nectar",127,"nectars"
"3356","pecorino",126,"pecorinos"
"4360","spaghetti",126,"spaghettis"
"1009","cognac",125,"cognacs"
"2544","lentil",125,"lentils"
"2586","linguine",125,"linguines"
"982","club",124,"clubs"
"1126","couscous",124,"couscouss"
"4151","shank",124,"shanks"
"1533","endive",122,"endives"
"3288","panko",122,"pankos"
"832","chard",121,"chards"
"3722","radicchio",120,"radicchios"
"4787","tofu",119,"tofus"
"337","beer",117,"beers"
"2772","marnier",117,"marniers"
"3371","penne",117,"pennes"
"1167","crimini",114,"criminis"
"2423","knife",114,"knifes"
"755","cashew",113,"cashews"
"2316","jelly",113,"jellys"
"3488","pizza",113,"pizzas"
"1138","crabmeat",111,"crabmeats"
"2906","miso",111,"misos"
"5060","vine",111,"vines"
"2398","kidney",110,"kidneys"
"2612","lobster",110,"lobsters"
"1979","grapeseed",108,"grapeseeds"
"2840","melon",108,"melons"
"2947","montrachet",108,"montrachets"
"2987","muffin",107,"muffins"
"689","cannellini",106,"cannellinis"
"934","chutney",105,"chutneys"
"722","caraway",103,"caraways"
"1033","com",103,"coms"
"4702","tequila",103,"tequilas"
